Company,Metric,Period,Value
Intel,Total Revenue,FQ 1Q92,1241300
Intel,Total Revenue,FQ 4Q91,1205400
Intel,Total Revenue,FQ 3Q91,1187700
Intel,Total Revenue,FQ 2Q91,1252700
Intel,Total Revenue,FQ 1Q91,1132800
Intel,Total Revenue,FQ 4Q90,1046100
Intel,Total Revenue,FQ 3Q90,1012400
Intel,Total Revenue,FQ 2Q90,968300
Intel,Total Revenue,FQ 1Q90,894500
Intel,Total Revenue,FQ 4Q89,894900
Intel,Total Revenue,FQ 3Q89,771400
Intel,Total Revenue,FQ 2Q89,747300
Intel,Total Revenue,FQ 1Q89,713100
Intel,Total Revenue,FQ 4Q88,727400
Intel,Total Revenue,FQ 3Q88,784900
Intel,Total Revenue,FQ 2Q88,726700
Intel,Total Revenue,FQ 1Q88,635800
Intel,Total Revenue,FQ 4Q87,572500
Intel,Total Revenue,FQ 3Q87,501100
Intel,Total Revenue,FQ 2Q87,439000
Intel,Total Revenue,FQ 1Q87,394500
Intel,Total Revenue,FQ 4Q86,355600
Intel,Total Revenue,FQ 3Q86,324100
Intel,Total Revenue,FQ 2Q86,305200
Intel,Total Revenue,FQ 1Q86,280100
Intel,Total Revenue,FQ 4Q85,318000
Intel,Total Revenue,FQ 3Q85,311700
Intel,Total Revenue,FQ 2Q85,360000
Intel,Total Revenue,FQ 1Q85,375200
Intel,Total Revenue,FQ 4Q84,416100
Intel,Total Revenue,FQ 3Q84,431600
Intel,Total Revenue,FQ 2Q84,410100
Intel,Total Revenue,FQ 1Q84,371600
Intel,Net Income (Normalized),FQ 1Q25,580000
Intel,Net Income (Normalized),FQ 4Q24,568000
Intel,Net Income (Normalized),FQ 3Q24,-1976000
Intel,Net Income (Normalized),FQ 2Q24,83000
Intel,Net Income (Normalized),FQ 1Q24,759000
Intel,Net Income (Normalized),FQ 4Q23,2303000
Intel,Net Income (Normalized),FQ 3Q23,1739000
Intel,Net Income (Normalized),FQ 2Q23,547000
Intel,Net Income (Normalized),FQ 1Q23,-169000
Intel,Net Income (Normalized),FQ 4Q22,635000
Intel,Net Income (Normalized),FQ 3Q22,1526000
Intel,Net Income (Normalized),FQ 2Q22,1148000
Intel,Net Income (Normalized),FQ 1Q22,3582000
Intel,Net Income (Normalized),FQ 4Q21,4723000
Intel,Net Income (Normalized),FQ 3Q21,5908000
Intel,Net Income (Normalized),FQ 2Q21,5571000
Intel,Net Income (Normalized),FQ 1Q21,5489000
Intel,Net Income (Normalized),FQ 4Q20,6085000
Intel,Net Income (Normalized),FQ 3Q20,4546000
Intel,Net Income (Normalized),FQ 2Q20,4901000
Intel,Net Income (Normalized),FQ 1Q20,6063000
Intel,Net Income (Normalized),FQ 4Q19,6663000
Intel,Net Income (Normalized),FQ 3Q19,6289000
Intel,Net Income (Normalized),FQ 2Q19,4785000
Intel,Net Income (Normalized),FQ 1Q19,4048000
Intel,Net Income (Normalized),FQ 4Q18,5902000
Intel,Net Income (Normalized),FQ 3Q18,6508000
